energyfamiliarity,currenthydrogen,currentgeothermal,currentsolar,currentcoal,currentnuclear,currenthydroelectric,currentoil,currentnaturalgas,stdevhydrogen,stdevgeothermal,stdevsolar,stdevcoal,stdevnuclear,stdevhydroelectric,stdevoil,stdevnaturalgas,avgstdevoff,avgoff,hydrogenoff,geothermaloff,solaroff,coaloff,nuclearoff,hydroelectricoff,oiloff,naturalgasoff,wanthydrogen,wantgeothermal,wantsolar,wantcoal,wantnuclear,wanthydroelectric,wantoil,wantnaturalgas,important,worry,personalimpact,futureimpact,age,race,gender,education,householdincome,state,zipcode,ideology,ideologystrength,party,sassy,difwanthydrogen,difwantgeothermal,difwantsolar,difwantcoal,difwantnuclear,difwanthydroelectric,difwantoil,difwantnaturalgas
Much More Than,0,5,10,35,10,10,10,20,-0.731140572,0.140512636,0.112955193,0.878734198,-0.153443962,0.04753929,-0.864131157,-0.00021374,0.366083844,7.275,0,4.6,7.3,9.1,-12.2,3.8,9.5,-11.7,0,10,20,0,60,10,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,44,White,Man,Associates or technical degree,"$25,000-$49,999",Alaska,99623,Liberal,Weakly,Democrat,Alarmed,0,5,10,-35,50,0,-10,-20
About the Same,1,1,2,20,5,5,60,6,-0.563261795,-0.58485831,-0.968910345,-0.086629471,-0.645801911,-0.515220301,2.222306708,-1.020767782,0.825969578,13.975,1,0.6,-0.7,-5.9,-17.2,-1.2,59.5,-25.7,0,0,50,0,0,50,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,36,White,Woman,Bachelor degree,"$25,000-$49,999",New York,11216,Liberal,Strongly,Other,Alarmed,-1,-1,48,-20,-5,45,-60,-6
About the Same,5,5,10,25,10,10,20,15,0.108253313,0.140512636,0.112955193,0.235158419,-0.153443962,0.04753929,-0.246843584,-0.364697327,0.176175466,8.75,5,4.6,7.3,-0.9,-12.2,3.8,19.5,-16.7,20,20,20,0,10,20,5,5,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,37,White,Man,"Some college, but no degree","$100,000-$149,999",Ohio,43615,Moderate,Weakly,None,Concerned,15,15,10,-25,0,10,-15,-10
Less Than,5,5,5,20,10,5,30,20,0.108253313,0.140512636,-0.563210768,-0.086629471,-0.153443962,-0.515220301,0.370443989,-0.00021374,0.242241023,9.05,5,4.6,2.3,-5.9,-12.2,-1.2,29.5,-11.7,50,0,25,0,0,25,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,26,White,Woman,"Some college, but no degree","$25,000-$49,999",Massachusetts,2745,Moderate,Moderately,Independent,Alarmed,45,-5,20,-20,-10,20,-30,-20
About the Same,1,5,10,16,8,10,25,25,-0.563261795,0.140512636,0.112955193,-0.344059783,-0.350387142,0.04753929,0.061800203,0.364269846,0.248098236,9,1,4.6,7.3,-9.9,-14.2,3.8,24.5,-6.7,10,10,30,0,20,15,0,15,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,34,White,Man,Bachelor degree,"$50,000-$74,999",California,94102,Liberal,Moderately,Democrat,Concerned,9,5,20,-16,12,5,-25,-10
More Than,0,1,1,10,10,10,50,20,-0.731140572,-0.58485831,-1.104143538,-0.730205251,-0.153443962,0.04753929,1.605019135,-0.00021374,0.619570475,11.925,0,0.6,-1.7,-15.9,-12.2,3.8,49.5,-11.7,0,0,0,0,10,10,70,20,Not at all important,Not At All Worried,Not at All,Not At All,58,Asian or Asian American,Man,Associates or technical degree,"$25,000-$49,999",California,94521,Conservative,Strongly,Republican,Dismissive,0,-1,-1,-10,0,0,20,0
About the Same,0,0,0,10,0,0,50,40,-0.731140572,-0.766201047,-1.23937673,-0.730205251,-1.138159859,-1.077979892,1.605019135,1.457720605,1.093225386,13.15,0,-0.4,-2.7,-15.9,-22.2,-6.2,49.5,8.3,0,25,75,0,0,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,51,White,Woman,"Some college, but no degree","$75,000-$99,999",Pennsylvania,19380,Liberal,Strongly,Democrat,Alarmed,0,25,75,-10,0,0,-50,-40
About the Same,2,3,5,25,5,0,20,40,-0.395383018,-0.222172837,-0.563210768,0.235158419,-0.645801911,-1.077979892,-0.246843584,1.457720605,0.605533879,7.375,2,2.6,2.3,-0.9,-17.2,-6.2,19.5,8.3,0,20,30,0,30,15,0,20,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,43,White,Woman,Associates or technical degree,"$25,000-$49,999",Missouri,64137,Liberal,Strongly,Democrat,Concerned,-2,17,25,-25,25,15,-20,-20
About the Same,0,0,5,0,10,10,70,5,-0.731140572,-0.766201047,-0.563210768,-1.373781031,-0.153443962,0.04753929,2.839594281,-1.093664499,0.946071931,17.6,0,-0.4,2.3,-25.9,-12.2,3.8,69.5,-26.7,0,0,100,0,0,0,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,48,White,Man,"Some college, but no degree","$50,000-$74,999",New Jersey,7747,Liberal,Moderately,Democrat,Cautious,0,0,95,0,-10,-10,-70,-5
About the Same,5,5,15,0,0,5,60,10,0.108253313,0.140512636,0.789121155,-1.373781031,-1.138159859,-0.515220301,2.222306708,-0.729180913,0.877066989,19.05,5,4.6,12.3,-25.9,-22.2,-1.2,59.5,-21.7,50,0,50,0,0,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,36,White,Woman,"Some college, but no degree","$100,000-$149,999",Wisconsin,53021,Liberal,Moderately,Democrat,Alarmed,45,-5,35,0,0,-5,-60,-10
Less Than,2,1,5,10,2,5,50,25,-0.395383018,-0.58485831,-0.563210768,-0.730205251,-0.94121668,-0.515220301,1.605019135,0.364269846,0.712422914,12.3,2,0.6,2.3,-15.9,-20.2,-1.2,49.5,-6.7,5,5,20,5,15,20,20,10,Very Important,Very Worried,A Moderate Amount,A Great Deal,26,White,Woman,Bachelor degree,"$25,000-$49,999",California,90027,Liberal,Strongly,Independent,Alarmed,3,4,15,-5,13,15,-30,-15
About the Same,10,10,10,10,10,10,30,10,0.947647198,1.047226318,0.112955193,-0.730205251,-0.153443962,0.04753929,0.370443989,-0.729180913,0.517330264,13.75,10,9.6,7.3,-15.9,-12.2,3.8,29.5,-21.7,0,20,30,0,0,30,0,20,Somewhat important,Very Worried,A Moderate Amount,A Great Deal,29,Black or African American,Man,Associates or technical degree,"$75,000-$99,999",Arizona,85023,Liberal,Moderately,Democrat,Concerned,-10,10,20,-10,-10,20,-30,10
Less Than,5,10,15,5,10,10,30,15,0.108253313,1.047226318,0.789121155,-1.051993141,-0.153443962,0.04753929,0.370443989,-0.364697327,0.491589812,13.75,5,9.6,12.3,-20.9,-12.2,3.8,29.5,-16.7,10,20,20,0,5,20,5,20,Somewhat important,Somewhat Worried,A Moderate Amount,A Great Deal,24,White,Woman,Bachelor degree,"$25,000-$49,999",New York,11776,Moderate,Weakly,None,Concerned,5,10,5,-5,-5,10,-25,5
About the Same,3,2,10,5,5,0,15,60,-0.227504241,-0.403515574,0.112955193,-1.051993141,-0.645801911,-1.077979892,-0.55548737,2.91565495,0.873861534,12.375,3,1.6,7.3,-20.9,-17.2,-6.2,14.5,28.3,10,5,40,0,10,25,5,5,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,24,Asian or Asian American,Woman,Bachelor degree,"$75,000-$99,999",California,95014,Liberal,Moderately,Democrat,Alarmed,7,3,30,-5,5,25,-10,-55
About the Same,10,5,15,25,20,5,10,10,0.947647198,0.140512636,0.789121155,0.235158419,0.831271934,-0.515220301,-0.864131157,-0.729180913,0.631530464,7.8,10,4.6,12.3,-0.9,-2.2,-1.2,9.5,-21.7,5,5,10,25,20,5,20,10,Very Important,Very Worried,Only a Little,A Great Deal,29,White,Man,Bachelor degree,"$100,000-$149,999",Wisconsin,53154,Liberal,Strongly,Democrat,Alarmed,-5,0,-5,0,0,0,10,0
About the Same,0,0,0,50,20,0,10,20,-0.731140572,-0.766201047,-1.23937673,1.844097868,0.831271934,-1.077979892,-0.864131157,-0.00021374,0.919301618,7.1,0,-0.4,-2.7,24.1,-2.2,-6.2,9.5,-11.7,0,20,20,0,40,20,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,26,Asian or Asian American,Man,Bachelor degree,"$25,000-$49,999",Nevada,89118,Liberal,Strongly,Democrat,Alarmed,0,20,20,-50,20,20,-10,-20
About the Same,2,15,15,10,20,10,60,50,-0.395383018,1.953940001,0.789121155,-0.730205251,0.831271934,0.04753929,2.222306708,2.186687777,1.144556892,16.075,2,14.6,12.3,-15.9,-2.2,3.8,59.5,18.3,30,15,50,0,20,15,20,35,Very Important,Very Worried,A Moderate Amount,A Great Deal,55,White,Woman,"Some college, but no degree","$75,000-$99,999",California,94960,Liberal,Strongly,Democrat,Alarmed,28,0,35,-10,0,5,-40,-15
More Than,1,2,5,50,20,10,6,6,-0.563261795,-0.403515574,-0.563210768,1.844097868,0.831271934,0.04753929,-1.111046186,-1.020767782,0.7980889,8.275,1,1.6,2.3,24.1,-2.2,3.8,5.5,-25.7,10,10,30,0,40,10,0,0,Somewhat important,Not Very Worried,Only a Little,Only a Little,64,White,Woman,Associates or technical degree,"$50,000-$74,999",Arizona,85937,Moderate,Moderately,Independent,Cautious,9,8,25,-50,20,0,-6,-6
More Than,1,1,3,65,10,2,10,8,-0.563261795,-0.58485831,-0.833677153,2.809461537,-0.153443962,-0.852876056,-0.864131157,-0.874974347,0.94208554,11.325,1,0.6,0.3,39.1,-12.2,-4.2,9.5,-23.7,5,15,50,0,15,15,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,21,White,Woman,Associates or technical degree,"Less than $25,000",Florida,32117,Liberal,Strongly,Democrat,Alarmed,4,14,47,-65,5,13,-10,-8
Less Than,0,0,5,5,10,0,50,30,-0.731140572,-0.766201047,-0.563210768,-1.051993141,-0.153443962,-1.077979892,1.605019135,0.728753432,0.834717744,11.65,0,-0.4,2.3,-20.9,-12.2,-6.2,49.5,-1.7,30,0,30,0,20,0,0,20,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,24,Asian or Asian American,Man,Bachelor degree,"$150,000 or more",Texas,75235,Liberal,Moderately,Republican,Cautious,30,0,25,-5,10,0,-50,-10
About the Same,5,3,15,30,20,7,10,10,0.108253313,-0.222172837,0.789121155,0.556946308,0.831271934,-0.290116465,-0.864131157,-0.729180913,0.54889926,7.275,5,2.6,12.3,4.1,-2.2,0.8,9.5,-21.7,25,15,30,2,4,15,3,6,Extremely Important,Very Worried,A Great Deal,A Great Deal,23,White,Non-binary / Gender Non-conforming,High school diploma or GED,"$25,000-$49,999",Georgia,30501,Liberal,Strongly,Other,Alarmed,20,12,15,-28,-16,8,-7,-4
More Than,10,10,20,20,10,10,10,10,0.947647198,1.047226318,1.465287117,-0.086629471,-0.153443962,0.04753929,-0.864131157,-0.729180913,0.667635678,11.25,10,9.6,17.3,-5.9,-12.2,3.8,9.5,-21.7,10,20,40,0,10,10,5,5,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,65,White,Woman,Associates or technical degree,"$25,000-$49,999",California,93436,Liberal,Strongly,Democrat,Alarmed,0,10,20,-20,0,0,-5,-5
About the Same,5,0,10,5,20,20,35,5,0.108253313,-0.766201047,0.112955193,-1.051993141,0.831271934,1.173058473,0.679087776,-1.093664499,0.727060672,13.85,5,-0.4,7.3,-20.9,-2.2,13.8,34.5,-26.7,100,0,0,0,0,0,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,33,Some other race or origin,Woman,Associates or technical degree,"Less than $25,000",Arizona,85015,Liberal,Strongly,Green,Alarmed,95,0,-10,-5,-20,-20,-35,-5
Much Less Than,1,1,1,1,1,1,90,10,-0.563261795,-0.58485831,-1.104143538,-1.309423453,-1.03968827,-0.965427974,4.074169427,-0.729180913,1.29626921,20.725,1,0.6,-1.7,-24.9,-21.2,-5.2,89.5,-21.7,10,10,50,2,30,10,40,70,Not too important,Not At All Worried,,A Moderate Amount,33,Black or African American,Woman,"Some college, but no degree","$50,000-$74,999",New York,12550,Liberal,Weakly,Independent,,9,9,49,1,29,9,-50,60
About the Same,15,12,8,20,5,8,25,7,1.787041083,1.409911791,-0.157511191,-0.086629471,-0.645801911,-0.177564546,0.061800203,-0.947871065,0.659266408,13.25,15,11.6,5.3,-5.9,-17.2,1.8,24.5,-24.7,0,20,80,0,0,0,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,32,Black or African American,Woman,Some high school or less,Prefer not to say,New Jersey,7631,Liberal,Moderately,Democrat,Alarmed,-15,8,72,-20,-5,-8,-25,-7
About the Same,1,1,5,30,20,7,25,25,-0.563261795,-0.58485831,-0.563210768,0.556946308,0.831271934,-0.290116465,0.061800203,0.364269846,0.476966954,5.275,1,0.6,2.3,4.1,-2.2,0.8,24.5,-6.7,25,25,25,0,0,25,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,33,White,Man,"Some college, but no degree","$75,000-$99,999",Minnesota,55429,Liberal,Strongly,Other,Alarmed,24,24,20,-30,-20,18,-25,-25
More Than,2,1,6,54,8,7,10,12,-0.395383018,-0.58485831,-0.427977576,2.10152818,-0.350387142,-0.290116465,-0.864131157,-0.583387478,0.699721166,9.775,2,0.6,3.3,28.1,-14.2,0.8,9.5,-19.7,15,15,60,1,2,2,2,3,Not too important,Not Very Worried,Only a Little,A Moderate Amount,74,White,Man,Bachelor degree,"$50,000-$74,999",Arizona,85713,Conservative,Moderately,Republican,Cautious,13,14,54,-53,-6,-5,-8,-9
Less Than,15,5,10,20,10,5,30,5,1.787041083,0.140512636,0.112955193,-0.086629471,-0.153443962,-0.515220301,0.370443989,-1.093664499,0.532488892,12.8,15,4.6,7.3,-5.9,-12.2,-1.2,29.5,-26.7,40,5,30,0,0,10,2,13,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,20,White,Woman,High school diploma or GED,"$25,000-$49,999",Kentucky,40046,Moderate,Moderately,Republican,Cautious,25,0,20,-20,-10,5,-28,8
Less Than,1,1,5,25,4,4,30,30,-0.563261795,-0.58485831,-0.563210768,0.235158419,-0.7442735,-0.627772219,0.370443989,0.728753432,0.552216554,7.05,1,0.6,2.3,-0.9,-18.2,-2.2,29.5,-1.7,5,5,75,0,5,10,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,27,White,Woman,Graduate or professional degree ,"$100,000-$149,999",Michigan,49504,Liberal,Strongly,Democrat,Alarmed,4,4,70,-25,1,6,-30,-30
About the Same,2,2,7,26,15,9,5,34,-0.395383018,-0.403515574,-0.292744384,0.299515997,0.338913986,-0.065012628,-1.172774943,1.020340301,0.498525104,3.1,2,1.6,4.3,0.1,-7.2,2.8,4.5,2.3,20,15,25,3,15,15,2,5,Very Important,Somewhat Worried,Only a Little,A Great Deal,29,White,Woman,Bachelor degree,"$100,000-$149,999",Minnesota,55104,Liberal,Strongly,Democrat,Concerned,18,13,18,-23,0,6,-3,-29
More Than,10,10,5,5,15,10,25,20,0.947647198,1.047226318,-0.563210768,-1.051993141,0.338913986,0.04753929,0.061800203,-0.00021374,0.507318081,11.25,10,9.6,2.3,-20.9,-7.2,3.8,24.5,-11.7,35,20,15,0,10,10,0,10,Very Important,Somewhat Worried,Only a Little,A Moderate Amount,33,White,Man,Graduate or professional degree ,"$50,000-$74,999",North Carolina,27932,Liberal,Moderately,Democrat,Concerned,25,10,10,-5,-5,0,-25,-10
About the Same,0,0,10,40,20,10,10,10,-0.731140572,-0.766201047,0.112955193,1.200522088,0.831271934,0.04753929,-0.864131157,-0.729180913,0.660367774,7.375,0,-0.4,7.3,14.1,-2.2,3.8,9.5,-21.7,0,0,35,0,35,30,0,0,Extremely Important,Somewhat Worried,Only a Little,A Great Deal,64,Asian or Asian American,Man,Graduate or professional degree ,"$150,000 or more",California,95014,Liberal,Moderately,Democrat,Alarmed,0,0,25,-40,15,20,-10,-10
About the Same,5,5,10,5,15,5,45,10,0.108253313,0.140512636,0.112955193,-1.051993141,0.338913986,-0.515220301,1.296375348,-0.729180913,0.536675604,14.05,5,4.6,7.3,-20.9,-7.2,-1.2,44.5,-21.7,5,20,20,5,5,20,5,20,Very Important,Somewhat Worried,Only a Little,A Moderate Amount,24,White,Man,Associates or technical degree,"$25,000-$49,999",Utah,84075,Conservative,Weakly,Republican,Concerned,0,15,10,0,-10,15,-40,10
About the Same,5,5,10,30,10,0,30,10,0.108253313,0.140512636,0.112955193,0.556946308,-0.153443962,-1.077979892,0.370443989,-0.729180913,0.406214526,11.325,5,4.6,7.3,4.1,-12.2,-6.2,29.5,-21.7,25,10,25,10,0,10,10,10,Very Important,Very Worried,A Moderate Amount,A Great Deal,52,White,Woman,"Some college, but no degree","$50,000-$74,999",Florida,32073,Moderate,Moderately,Independent,Alarmed,20,5,15,-20,-10,10,-20,0
More Than,5,5,15,30,15,5,15,10,0.108253313,0.140512636,0.789121155,0.556946308,0.338913986,-0.515220301,-0.55548737,-0.729180913,0.466704498,8.825,5,4.6,12.3,4.1,-7.2,-1.2,14.5,-21.7,5,0,30,0,50,15,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,40,White,Man,Bachelor degree,"$100,000-$149,999",California,91354,Liberal,Moderately,Independent,Alarmed,0,-5,15,-30,35,10,-15,-10
About the Same,0,0,5,40,0,5,30,20,-0.731140572,-0.766201047,-0.563210768,1.200522088,-1.138159859,-0.515220301,0.370443989,-0.00021374,0.660639046,10.175,0,-0.4,2.3,14.1,-22.2,-1.2,29.5,-11.7,0,0,80,0,0,20,0,0,Very Important,Not Very Worried,A Moderate Amount,A Great Deal,32,White,Man,Bachelor degree,"$50,000-$74,999",Kentucky,42134,Liberal,Weakly,Democrat,Concerned,0,0,75,-40,0,15,-30,-20
About the Same,10,5,20,5,5,5,20,30,0.947647198,0.140512636,1.465287117,-1.051993141,-0.645801911,-0.515220301,-0.246843584,0.728753432,0.717757415,11.55,10,4.6,17.3,-20.9,-17.2,-1.2,19.5,-1.7,20,10,20,0,10,10,10,20,Very Important,Somewhat Worried,Only a Little,A Moderate Amount,24,"Hispanic, Latino, or Spanish origin",Man,Associates or technical degree,"$50,000-$74,999",California,93033,Liberal,Moderately,Democrat,Concerned,10,5,0,-5,5,5,-10,-10
About the Same,5,10,10,15,5,10,15,30,0.108253313,1.047226318,0.112955193,-0.408417361,-0.645801911,0.04753929,-0.55548737,0.728753432,0.456804274,8.75,5,9.6,7.3,-10.9,-17.2,3.8,14.5,-1.7,15,10,40,5,5,15,5,5,Not too important,Not Very Worried,Only a Little,Only a Little,49,Black or African American,Man,Bachelor degree,"$75,000-$99,999",New Jersey,7112,Moderate,Moderately,Independent,Doubtful,10,0,30,-10,0,5,-10,-25
About the Same,2,3,15,15,10,5,5,45,-0.395383018,-0.222172837,0.789121155,-0.408417361,-0.153443962,-0.515220301,-1.172774943,1.822204191,0.684842221,7.375,2,2.6,12.3,-10.9,-12.2,-1.2,4.5,13.3,5,5,70,0,0,10,0,10,Very Important,Very Worried,A Great Deal,A Great Deal,65,White,Man,"Some college, but no degree","$25,000-$49,999",Ohio,44111,Liberal,Moderately,Democrat,Alarmed,3,2,55,-15,-10,5,-5,-35
About the Same,7,10,14,15,18,4,22,10,0.444010867,1.047226318,0.653887963,-0.408417361,0.634328755,-0.627772219,-0.123386069,-0.729180913,0.583526308,11.05,7,9.6,11.3,-10.9,-4.2,-2.2,21.5,-21.7,6,12,27,12,14,7,13,9,Very Important,Somewhat Worried,Only a Little,A Moderate Amount,23,"White,Hispanic, Latino, or Spanish origin",Man,Bachelor degree,"$25,000-$49,999",Illinois,61244,Moderate,Strongly,Independent,Concerned,-1,2,13,-3,-4,3,-9,-1
More Than,2,3,10,5,10,10,50,10,-0.395383018,-0.222172837,0.112955193,-1.051993141,-0.153443962,0.04753929,1.605019135,-0.729180913,0.539710936,15,2,2.6,7.3,-20.9,-12.2,3.8,49.5,-21.7,0,0,15,5,30,20,30,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,61,Asian or Asian American,Woman,Graduate or professional degree ,"$75,000-$99,999",Massachusetts,2176,Moderate,Moderately,Independent,Alarmed,-2,-3,5,0,20,10,-20,-10
More Than,5,5,15,25,20,4,10,16,0.108253313,0.140512636,0.789121155,0.235158419,0.831271934,-0.627772219,-0.864131157,-0.291800609,0.48600268,6.55,5,4.6,12.3,-0.9,-2.2,-2.2,9.5,-15.7,5,10,40,3,0,10,26,6,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,58,Black or African American,Man,Bachelor degree,"$25,000-$49,999",Virginia,23513,Liberal,Moderately,Democrat,Cautious,0,5,25,-22,-20,6,16,-10
About the Same,0,0,0,0,30,0,40,30,-0.731140572,-0.766201047,-1.23937673,-1.373781031,1.815987831,-1.077979892,0.987731562,0.728753432,1.090119012,10.525,0,-0.4,-2.7,-25.9,7.8,-6.2,39.5,-1.7,33,0,34,0,0,33,0,0,Not too important,Somewhat Worried,Only a Little,A Moderate Amount,35,"White,Black or African American",Woman,Associates or technical degree,"$100,000-$149,999",New York,10705,Moderate,Moderately,Democrat,Cautious,33,0,34,0,-30,33,-40,-30
About the Same,5,5,10,30,5,10,20,15,0.108253313,0.140512636,0.112955193,0.556946308,-0.645801911,0.04753929,-0.246843584,-0.364697327,0.277943695,9.775,5,4.6,7.3,4.1,-17.2,3.8,19.5,-16.7,5,25,20,0,30,20,0,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,24,"White,Hispanic, Latino, or Spanish origin,Native American or Alaska Native",Non-binary / Gender Non-conforming,"Some college, but no degree",Prefer not to say,California,94116,Moderate,Moderately,None,Alarmed,0,20,10,-30,25,10,-20,-15
About the Same,0,0,18,1,1,0,50,30,-0.731140572,-0.766201047,1.194820732,-1.309423453,-1.03968827,-1.077979892,1.605019135,0.728753432,1.056628317,14.9,0,-0.4,15.3,-24.9,-21.2,-6.2,49.5,-1.7,0,0,80,0,0,20,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,22,"Hispanic, Latino, or Spanish origin",Woman,High school diploma or GED,"$25,000-$49,999",Texas,76244,Liberal,Strongly,Democrat,Alarmed,0,0,62,-1,-1,20,-50,-30
